country,iso2,year,value
Argentina,AR,1991,5.44
Argentina,AR,1992,6.36
Argentina,AR,1993,10.1
Argentina,AR,1994,11.76
Argentina,AR,1995,18.8
Argentina,AR,1996,17.11
Argentina,AR,1997,14.82
Argentina,AR,1998,12.65
Argentina,AR,1999,14.05
Argentina,AR,2000,15.0
Argentina,AR,2001,17.32
Argentina,AR,2002,19.59
Argentina,AR,2003,15.36
Argentina,AR,2004,13.522
Argentina,AR,2005,11.506
Argentina,AR,2006,10.078
Argentina,AR,2007,8.47
Argentina,AR,2008,7.837
Argentina,AR,2009,8.645
Argentina,AR,2010,7.714
Argentina,AR,2011,7.18
Argentina,AR,2012,7.217
Argentina,AR,2013,7.1
Argentina,AR,2014,7.268
Argentina,AR,2015,7.577
Argentina,AR,2016,8.088
Argentina,AR,2017,8.347
Argentina,AR,2018,9.22
Argentina,AR,2019,9.843
Argentina,AR,2020,11.461
Argentina,AR,2021,8.736
Argentina,AR,2022,6.805
Argentina,AR,2023,6.139
Brazil,BR,1991,6.887
Brazil,BR,1992,7.086
Brazil,BR,1993,6.03
Brazil,BR,1994,6.579
Brazil,BR,1995,7.092
Brazil,BR,1996,8.035
Brazil,BR,1997,9.003
Brazil,BR,1998,10.15
Brazil,BR,1999,11.125
Brazil,BR,2000,10.889
Brazil,BR,2001,10.649
Brazil,BR,2002,10.641
Brazil,BR,2003,11.168
Brazil,BR,2004,10.072
Brazil,BR,2005,10.551
Brazil,BR,2006,9.692
Brazil,BR,2007,9.28
Brazil,BR,2008,8.268
Brazil,BR,2009,9.419
Brazil,BR,2010,8.42
Brazil,BR,2011,7.578
Brazil,BR,2012,7.251
Brazil,BR,2013,7.071
Brazil,BR,2014,6.755
Brazil,BR,2015,8.538
Brazil,BR,2016,11.58
Brazil,BR,2017,12.792
Brazil,BR,2018,12.329
Brazil,BR,2019,11.936
Brazil,BR,2020,13.697
Brazil,BR,2021,13.158
Brazil,BR,2022,9.231
Brazil,BR,2023,7.947
Canada,CA,1991,10.316
Canada,CA,1992,11.197
Canada,CA,1993,11.377
Canada,CA,1994,10.395
Canada,CA,1995,9.489
Canada,CA,1996,9.62
Canada,CA,1997,9.1
Canada,CA,1998,8.278
Canada,CA,1999,7.583
Canada,CA,2000,6.829
Canada,CA,2001,7.219
Canada,CA,2002,7.665
Canada,CA,2003,7.574
Canada,CA,2004,7.185
